nazev obce,volici v seznamu,vydane obalky,platne hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,-,kod obce,kraj
Chrást,1429,1002,999,151,1,1,51,1,31,63,8,4,15,1,2,111,1,1,45,354,1,24,0,11,5,2,114,1,0,558966,Plzeňský kraj
Chválenice,561,369,369,50,3,0,21,0,13,21,7,7,7,1,1,52,0,0,38,104,0,8,0,3,2,0,29,2,0,557846,Plzeňský kraj
Dýšina,1349,860,853,114,0,0,48,0,52,41,10,5,16,1,2,119,0,3,45,269,5,34,0,3,2,1,80,3,0,558851,Plzeňský kraj
Kyšice,1,1,508,87,1,0,39,0,23,32,5,3,12,0,0,52,2,0,22,153,0,24,0,8,2,1,38,2,0,3203,Plzeňský kraj
Letkov,1,1,410,74,0,0,21,0,16,19,6,2,6,2,6,41,0,0,34,126,0,15,0,3,0,0,37,1,0,3203,Plzeňský kraj
Lhůta,1,1,114,16,0,0,9,0,8,13,4,1,2,0,2,6,0,0,4,31,0,1,0,3,0,0,13,1,0,3203,Plzeňský kraj
Losiná,1,1,665,115,0,0,32,2,26,48,8,4,15,1,1,70,0,0,28,218,2,15,0,8,1,0,63,2,0,3203,Plzeňský kraj
Mokrouše,1,1,139,19,1,0,14,0,7,12,2,1,1,0,0,15,0,0,7,36,0,5,0,2,2,1,13,0,0,3203,Plzeňský kraj
Nezbavětice,1,1,135,17,0,0,11,0,2,13,0,1,2,0,0,10,0,0,1,48,0,2,0,5,1,2,20,0,0,3203,Plzeňský kraj
Nezvěstice,1,1,770,72,0,0,85,1,33,56,10,3,7,2,4,77,0,0,41,270,3,28,0,5,1,0,68,1,0,3203,Plzeňský kraj
Plzeň,190,190,83842,12041,158,74,6294,90,3295,5281,1260,471,1709,92,316,9709,52,67,6047,23575,166,3177,33,794,309,165,7794,260,0,554791,Plzeňský kraj
Starý Plzenec,4038,2790,2758,387,10,5,181,5,163,160,38,19,41,3,9,281,2,4,195,798,4,85,0,26,15,4,315,8,0,558371,Plzeňský kraj
Tymákov,1,1,499,54,3,0,37,0,31,28,4,1,5,0,1,56,0,0,26,172,1,19,0,5,3,0,41,5,0,3203,Plzeňský kraj
Štěnovický Borek,1,1,313,58,2,1,27,1,21,15,4,4,7,2,0,24,2,0,20,74,1,8,0,0,4,3,34,1,0,3203,Plzeňský kraj
Šťáhlavy,2096,1418,1414,199,3,2,129,3,103,78,26,13,32,2,9,128,0,1,88,430,3,32,0,11,11,1,104,6,0,558427,Plzeňský kraj
